BARRIO,COMUNA,PERIMETRO,AREA
CHACARITA,15,7725.6952277047,3118100.97239645
PATERNAL,15,7087.5132953285,2229829.03362796
VILLA CRESPO,15,8132.6993484506,3613583.69021913
VILLA DEL PARQUE,11,7705.3897970805,3399595.64148384
ALMAGRO,5,8537.9013684915,4050752.24523804
CABALLITO,6,10990.9644714856,6851028.91356986
VILLA SANTA RITA,11,5757.7523347061,2153690.81329252
MONTE CASTRO,10,7361.0364175491,2627481.32508382
VILLA REAL,10,5070.9656524408,1334146.08283464
FLORES,7,15772.4251850572,8590784.12311297
FLORESTA,10,7519.6540917951,2320640.73550665
CONSTITUCION,1,6326.8447832781,2102008.90729314
SAN CRISTOBAL,3,5987.2264787894,2043711.12345591
BOEDO,5,6602.5433078832,2609773.94436398
VELEZ SARSFIELD,10,7045.5783317187,2400518.32602053
VILLA LURO,10,8652.9300312745,2566936.87251007
PARQUE PATRICIOS,4,7878.4681152325,3743506.92777216
MATADEROS,9,11124.6357920936,7398178.84035114
VILLA LUGANO,8,15057.4683894211,9296142.36140115
SAN TELMO,1,5178.0565045963,1232275.09247446
SAAVEDRA,12,11132.139345643,5538676.83282461
COGHLAN,12,4627.5631313843,1279951.37256185
VILLA URQUIZA,12,10021.4596648055,5449058.92285011
COLEGIALES,13,6374.6190450689,2289774.10427561
BALVANERA,3,8375.821810808,4342280.26804482
VILLA GRAL. MITRE,11,6290.4405605646,2162275.11534927
PARQUE CHAS,15,4531.2533962762,1385411.51373976
AGRONOMIA,15,6556.1677718704,2122169.34212266
VILLA ORTUZAR,15,5684.9952111417,1853802.05203413
BARRACAS,4,13018.2102714069,7960999.81583221
PARQUE AVELLANEDA,9,10165.6271293615,4732708.21748796
PARQUE CHACABUCO,7,8406.9143207469,3832116.69921769
NUEVA POMPEYA,4,11183.3556111015,4968150.98155517
,,,
VILLA RIACHUELO,8,10597.2528090063,4232873.69918292
VILLA SOLDATI,8,12534.571860035,8663594.54931328
VILLA PUEYRREDON,12,7522.3603824272,3303239.50935991
VILLA DEVOTO,11,11562.0068000197,6404480.85370878
LINIERS,9,9256.9273212862,4374418.7367673
VERSALLES,10,5650.4662864325,1406833.59580169
PUERTO MADERO,1,17782.044105354,5027424.89718009
MONSERRAT,1,6739.2222984607,2198621.94184
SAN NICOLAS,1,6548.084741387,2289007.58164466
BELGRANO,13,21504.1977744729,7932303.07379594
RECOLETA,2,21246.6117023757,6140873.29113238
,,,
NUï¿½EZ,13,10674.4164675602,4349735.97104895
BOCA,4,20595.9014598456,5028580.57144844
